id,name,sector,biome
174,Gemma,Ursa,rainforest
175,Grand Errant,Farsight,desolate
176,Hadar,Ferris,winter
177,Haka,Leo,swamp
178,Haldus,Ferris,moon
179,Halies Port,Leo,icemoss
180,Herthon Secundus,Ferris,desolate
181,Hesoe Prime,Rigel,winter
182,Heze Bay,Hanzo,mesa
183,Hort,Rigel,highlands
184,Hydrobius,Omega,desert
185,Karlia,Omega,desolate
186,Keid,Akira,mesa
187,Khandark,Guang,winter
188,Klaka 5,Alstrad,jungle
189,Kneth Port,Alstrad,desolate
190,Kraz,Alstrad,canyon
191,Kuma,Hawking,canyon
192,Lastofe,Theseus,mesa
193,Leng Secundus,Quintus,toxic
194,Lesath,Lacaille,icemoss
195,Maia,Severin,moon
196,Malevelon Creek,Severin,rainforest
197,Mantes,Xzar,jungle
198,Marfark,Andromeda,winter
199,Martale,Andromeda,tundra
200,Matar Bay,Andromeda,highlands
201,Meissa,Ymir,jungle
202,Mekbuda,Valdis,icemoss
203,Menkent,Hydra,desolate
204,Merak,Valdis,toxic
205,Merga IV,Valdis,winter
206,Minchir,Gellert,crimsonmoor
207,Mintoria,Gellert,highlands
208,Mordia 9,Hawking,ethereal
209,Nabatea Secundus,L'estrade,rainforest
210,Navi VII,L'estrade,jungle
211,Nivel 43,Mirin,swamp
212,Oshaune,Mirin,highlands
213,Overgoe Prime,Sten,crimsonmoor
214,Pandion-XXIV,Jin Xi,swamp
215,Partion,Sten,desolate
216,Peacock,Sten,rainforest
217,Phact Bay,Jin Xi,mesa
218,Pherkad Secundus,Farsight,highlands
219,Polaris Prime,Farsight,desert
220,Pollux 31,Farsight,jungle
221,Prasa,Farsight,canyon
222,Propus,Leo,mesa
223,Ras Algethi,Leo,tundra
224,RD-4,Rigel,moon
225,Rogue 5,Rigel,jungle
226,Rirga Bay,Rigel,toxic
227,Seasse,Omega,rainforest
228,Senge 23,Omega,canyon
229,Setia,Omega,mesa
230,Shete,Xi Tauri,toxic
231,Siemnot,Xi Tauri,rainforest
232,Sirius,Xi Tauri,moon
233,Skat Bay,Xi Tauri,swamp
234,Spherion,Quintus,jungle
235,Stor Tha Prime,Quintus,icemoss
236,Stout,Quintus,crimsonmoor
237,Termadon,Quintus,highlands
238,Tibit,Severin,ethereal
239,Tien Kwan,Theseus,icemoss-special
240,Troost,Trigon,swamp
241,Ubanea,Severin,crimsonmoor
242,Ustotu,Trigon,desert
243,Vandalon IV,Trigon,winter
244,Varylia 5,Trigon,highlands
245,Wasat,Ymir,toxic
246,Vega Bay,Ymir,winter
247,Wezen,Ymir,desolate
248,Vindemitarix Prime,Valdis,ethereal
249,X-45,Ymir,swamp
250,Yed Prior,Tanis,crimsonmoor
251,Zefia,Tanis,ethereal
252,Zosma,Gellert,moon
253,Zzaniah Prime,Gellert,mesa
254,Skitter,Hawking,highlands
255,Euphoria III,Hawking,moon
256,Diaspora X,L'estrade,mesa
257,Gemstone Bluffs,L'estrade,highlands
258,Zagon Prime,Mirin,mesa
259,Omicron,L'estrade,tundra
260,Cyberstan,Valdis,canyon
261,Fury,Xzar,magma
262,K,Trigon,magma
263,,,
264,,,
265,,,
266,Mox,Xzar,magma
267,Big Rock,,
268,Luxuriant,,lush
269,Brilliance,,lush
270,Unknown,,
271,Unknown,,
272,Basquine VIII,,autumn
273,Sangis,,autumn
